16:34:08 INFO  : [INFO]: Generating Linker script for zynqmp_fsbl
16:34:08 INFO  : [INFO]: Successfully Created Application sources at C:/OCDS/cloude-detection-accelerator/OCDS_platform/zynqmp_fsbl
16:34:08 INFO  : Successfully created Application C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl
16:34:08 INFO  : Platform FSBL Boot domain added successfully.
16:34:08 INFO  : ZYNQMP: Using the QEMU args from install at  : C:\AMDDesignTools\2025.2\Vitis\data\emulation\platforms\zynqmp\sw\a53_standalone\qemu\qemu_args.txt
16:34:08 INFO  : ZYNQMP: Using the PMUQEMU args from install at  : C:\AMDDesignTools\2025.2\Vitis\data\emulation\platforms\zynqmp\sw\a53_standalone\qemu\pmu_args.txt
16:34:08 INFO  : lopper command to generate BSP :empyro.bat create_bsp -w C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp -p psu_cortexa53_0 -o standalone -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\hw\sdt\system-top.dts -t empty_application -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:34:08 INFO  : cmd.exe, /C, empyro.bat create_bsp -w C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp -p psu_cortexa53_0 -o standalone -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\hw\sdt\system-top.dts -t empty_application -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:34:08 INFO  : [INFO]: Generating Hardware Metadata for zynqmp_pmufw
16:34:08 INFO  : [INFO]: Generating Linker script for zynqmp_pmufw
16:34:08 INFO  : [INFO]: Successfully Created Application sources at C:/OCDS/cloude-detection-accelerator/OCDS_platform/zynqmp_pmufw
16:34:08 INFO  : Successfully created Application C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw
16:34:08 INFO  : Platform PMU FW domain added successfully.
16:34:36 INFO  : [INFO]: Starting domain creation
16:34:36 INFO  : [INFO]: Found HLS driver within SDT, copying the sources
16:34:36 INFO  : [INFO]: Generating Domain-specific DTS for psu_cortexa53_0
16:34:36 INFO  : [INFO]: Generating required metadata from domain specific DT
16:34:36 INFO  : [INFO]: Successfully created Domain at C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:34:36 INFO  : Successfully Generated Domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:34:36 INFO  : Domain standalone_psu_cortexa53_0 added successfully.
16:34:36 INFO  : created .gitignore file for the project C:\OCDS\cloude-detection-accelerator\OCDS_platform
16:34:36 INFO  : Platform creation finished successfully.
16:34:36 INFO  : Platform Quick Build initiated.
16:34:42 INFO  : Generating Export directory
16:34:42 INFO  : Generated platform metadata for creating application(s) based on platform OCDS_platform.
16:43:06 INFO  : BSP build will be initiated for Domain zynqmp_pmufw
16:43:06 INFO  : BSP build will be initiated for Domain zynqmp_fsbl
16:43:06 INFO  : BSP build will be initiated for Domain standalone_psu_cortexa53_0
16:43:06 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
